filename,complexity,entropy
UL (1).png,-1.00734249,0.61014578
UL (10).png,-0.99762101,0.60425542
UL (11).png,-1.05648147,0.63990489
UL (12).png,-1.17272698,0.71030927
UL (13).png,-1.01960358,0.61757107
UL (14).png,-1.04523795,0.63309613
UL (15).png,-1.16397218,0.70500797
UL (16).png,-1.12941654,0.68407857
UL (17).png,-1.15681084,0.70067001
UL (18).png,-1.01903672,0.61722675
UL (19).png,-0.97218621,0.58885206
UL (2).png,-0.89347799,0.54118018
UL (20).png,-1.11032111,0.67251507
UL (21).png,-0.89641392,0.54296090
UL (22).png,-1.04940912,0.63562224
UL (23).png,-1.00972442,0.61158770
UL (24).png,-1.09614246,0.66392652
UL (25).png,-1.01412000,0.61424798
UL (26).png,-1.00890379,0.61109024
UL (27).png,-1.04201505,0.63114392
UL (28).png,-1.15768660,0.70120038
UL (29).png,-1.04873519,0.63521437
UL (3).png,-1.21530677,0.73609852
UL (30).png,-1.04855407,0.63510346
UL (31).png,-0.92935142,0.56290851
UL (32).png,-1.14024350,0.69063543
UL (33).png,-1.41985746,0.85998730
UL (34).png,-1.08294760,0.65593383
UL (35).png,-1.11323638,0.67427895
UL (36).png,-1.15902374,0.70201103
UL (37).png,-0.98577868,0.59708220
UL (38).png,-1.05799694,0.64082338
UL (39).png,-1.21749942,0.73742636
UL (4).png,-1.02693371,0.62201065
UL (40).png,-1.18986175,0.72068844
UL (5).png,-0.95406582,0.57787545
UL (6).png,-1.13470955,0.68728438
UL (7).png,-1.02676570,0.62190817
UL (8).png,-0.93965372,0.56914879
UL (9).png,-1.11084243,0.67282915
